Date,AAPL UW Equity,AXP UN Equity,BA UN Equity,CAT UN Equity,CSCO UW Equity,CVX UN Equity,DIS UN Equity,DWDP UN Equity,GS UN Equity,HD UN Equity,IBM UN Equity,INTC UW Equity,JNJ UN Equity,JPM UN Equity,KO UN Equity,MCD UN Equity,MMM UN Equity,MRK UN Equity,MSFT UW Equity,NKE UN Equity,PFE UN Equity,PG UN Equity,TRV UN Equity,UNH UN Equity,UTX UN Equity,V UN Equity,VZ UN Equity,WBA UW Equity,WMT UN Equity,XOM UN Equity,INDU Index
1/31/1989,1.3482,7.8274,14.083,7.7344,#N/A N/A,12.5625,6.1669,14.5105,#N/A N/A,1.025,32.7188,0.8125,5.719,10.7917,2.9297,6.5,16.479,10.2927,0.4141,#N/A N/A,2.3906,5.7578,12.063,#N/A N/A,5.516,#N/A N/A,16.8065,#N/A N/A,4.2031,11.5938,2342.32
2/28/1989,1.2946,7.5398,13.75,7.3438,#N/A N/A,12.125,6.0847,13.9316,#N/A N/A,1.144,30.375,0.8047,5.383,10.4167,2.9922,6.313,15.788,10.0561,0.4132,#N/A N/A,2.2969,5.5391,11.875,#N/A N/A,5.469,#N/A N/A,16.3863,#N/A N/A,3.9844,10.9688,2258.39
3/31/1989,1.2723,8.0829,15.167,7.1406,#N/A N/A,13.1875,6.4547,13.7075,#N/A N/A,1.193,27.3125,0.8203,5.672,12.0417,3.2031,6.422,16.119,10.2139,0.3472,#N/A N/A,2.3958,5.7813,12.125,#N/A N/A,5.688,#N/A N/A,17.0866,#N/A N/A,4.0469,10.9688,2293.62
4/28/1989,1.3929,8.3385,16.833,7.5625,#N/A N/A,13.5938,6.9994,14.1557,#N/A N/A,1.321,28.5,0.9063,6.016,12,3.3906,6.875,17.201,10.7462,0.3889,#N/A N/A,2.5781,5.9844,12.625,#N/A N/A,6.5,#N/A N/A,18.6832,#N/A N/A,4.4844,10.8125,2418.8
5/31/1989,1.6964,8.2746,17.861,7.9688,#N/A N/A,13.8125,7.6572,13.8382,#N/A N/A,1.346,27.4063,1.0234,6.172,11.875,3.6094,7.453,17.532,10.9434,0.4201,#N/A N/A,2.5417,6.4219,12.625,#N/A N/A,6.422,#N/A N/A,19.4675,#N/A N/A,4.75,10.7813,2480.15
6/30/1989,1.4821,8.4983,16,7.25,#N/A N/A,13.5,7.7806,12.5496,#N/A N/A,1.284,27.9688,0.9063,5.984,11.9583,3.5234,7.281,17.081,10.5096,0.3698,#N/A N/A,2.401,6.7734,13.25,#N/A N/A,6.281,#N/A N/A,19.6076,#N/A N/A,4.7656,11.0313,2440.06
7/31/1989,1.3973,9.5206,17.458,7.4219,#N/A N/A,13.625,8.829,13.4834,#N/A N/A,1.543,28.7813,0.9453,6.672,13,4.2344,7.781,18.284,11.9885,0.375,#N/A N/A,2.7083,7.4609,14.875,#N/A N/A,6.859,#N/A N/A,21.4843,#N/A N/A,5.4063,11.4688,2660.66
8/31/1989,1.5893,9.5206,18.25,8.0469,#N/A N/A,14.0625,9.6615,15.6123,#N/A N/A,1.759,29.2813,0.9453,6.547,12.7083,4.1563,7.219,18.975,11.5941,0.4132,#N/A N/A,2.8854,8.0313,14.938,#N/A N/A,6.969,#N/A N/A,21.8764,#N/A N/A,5.2813,10.9688,2737.27
9/29/1989,1.5893,9.2331,19,7.625,#N/A N/A,15.1875,9.939,14.6973,#N/A N/A,1.722,27.2813,1.0078,6.844,13.625,4.1953,7.438,18.013,11.9687,0.4757,#N/A N/A,2.8594,7.5,14.625,#N/A N/A,6.969,#N/A N/A,22.3526,#N/A N/A,5.125,11.1875,2692.82
10/31/1989,1.6607,9.297,18.75,7.1563,#N/A N/A,17.125,10.1857,14.4545,#N/A N/A,1.66,25.0938,1.0547,6.922,11.2083,4.5234,7.75,17.231,12.2842,0.5677,#N/A N/A,2.8177,8.0703,14.875,#N/A N/A,6.672,#N/A N/A,22.9128,#N/A N/A,5.1875,11.5,2645.08
11/30/1989,1.5804,9.0733,20,7.3281,#N/A N/A,17.125,10.6071,14.7626,#N/A N/A,1.815,24.375,1.0859,7.063,10.5833,4.8281,8.219,18.524,12.442,0.6042,#N/A N/A,3.0885,8.0938,15.563,#N/A N/A,6.469,#N/A N/A,23.1369,#N/A N/A,5.4688,11.8125,2706.27
12/29/1989,1.2589,8.9136,19.75,7.2344,#N/A N/A,16.9375,9.2092,15.9392,#N/A N/A,1.809,23.5938,1.0781,7.422,9.9583,4.8281,8.688,19.156,12.2251,0.6042,#N/A N/A,2.8958,8.7969,14.922,#N/A N/A,6.781,#N/A N/A,24.9296,#N/A N/A,5.5781,12.5313,2753.2
1/31/1990,1.2143,7.6037,19.75,6.9219,#N/A N/A,16.75,8.5617,14.3424,#N/A N/A,1.735,24.625,1.2344,6.578,8.5417,4.3047,8.156,18.795,11.3969,0.6424,#N/A N/A,2.875,8,13.438,#N/A N/A,6.234,#N/A N/A,21.9044,#N/A N/A,5.3281,11.75,2590.54
2/28/1990,1.2143,7.444,21.292,7.5625,0.0807,16.7813,9.0037,14.4545,#N/A N/A,1.963,25.9688,1.2578,6.703,8.5417,4.4063,7.875,19.276,10.7857,0.6858,#N/A N/A,2.4531,8,15.125,#N/A N/A,6.391,#N/A N/A,20.1398,#N/A N/A,5.5156,11.7813,2627.25
3/30/1990,1.4375,6.5814,23.917,7.6406,0.0816,16.875,9.1373,14.7346,#N/A N/A,2.259,26.5625,1.3047,7.016,7.8333,4.6641,7.938,19.577,10.9828,0.7691,#N/A N/A,2.526,8.4688,14.813,#N/A N/A,7.156,#N/A N/A,21.1201,#N/A N/A,5.9063,11.5625,2707.21
4/30/1990,1.4063,6.9647,23.208,7.6719,0.0825,16.4688,9.0859,13.8102,#N/A N/A,2.309,27.25,1.2344,7.078,7.7917,4.7656,7.531,19.096,11.5547,0.8056,#N/A N/A,2.3646,8.8281,14.156,#N/A N/A,6.844,#N/A N/A,20.9521,#N/A N/A,6.2031,11.3125,2656.76
5/31/1990,1.4732,7.4759,27.5,8.375,0.0859,17.5,10.6071,13.9503,#N/A N/A,2.988,29.9688,1.4766,7.984,9.125,5.625,8.656,19.878,13.0335,1.0139,#N/A N/A,2.7344,10.3281,14.563,#N/A N/A,7.328,#N/A N/A,23.361,#N/A N/A,7.0469,12,2876.66
6/29/1990,1.5982,7.8593,29.25,6.5469,0.092,17.5938,10.5454,12.8298,#N/A N/A,2.846,29.375,1.4688,8.453,8.5,5.5469,8.844,20.81,13.6842,1.0556,#N/A N/A,2.6823,10.8906,14.375,#N/A N/A,7.156,#N/A N/A,22.2406,#N/A N/A,7.8125,11.9688,2880.69
7/31/1990,1.5,7.444,28.875,6.1094,0.0885,19.8438,9.6718,11.5692,#N/A N/A,2.537,27.9688,1.3906,8.828,7.6667,5.6719,7.813,21.742,14.0588,0.9236,#N/A N/A,3.1667,10.8438,15.25,#N/A N/A,7.406,#N/A N/A,22.0725,#N/A N/A,7.8438,12.9688,2905.2
8/31/1990,1.3214,6.166,24.188,5.375,0.0859,18.9688,8.4178,9.4122,#N/A N/A,2.509,25.4688,1.043,8.203,7.2083,5.2813,6.969,18.945,12.8758,0.8542,#N/A N/A,2.9583,9.625,14,#N/A N/A,6.109,#N/A N/A,19.1594,#N/A N/A,7.125,12.5,2614.36
9/28/1990,1.0357,5.3993,20.813,5.2813,0.0781,18.5,7.4517,8.7399,#N/A N/A,2.25,26.7188,1.0391,7.906,5.1667,4.9375,6.469,18.554,12.0082,0.875,#N/A N/A,2.9427,9.1094,12.5,#N/A N/A,5.344,#N/A N/A,21.1762,#N/A N/A,6.8438,12.25,2452.48
10/31/1990,1.0982,4.8242,22.313,5.0938,0.1024,17.0938,7.4825,9.3842,#N/A N/A,2.176,26.375,1.0469,8.031,3.375,5.5938,6.313,19.005,12.1265,0.8854,0.8555,3.0313,9.8281,12.844,#N/A N/A,5.641,#N/A N/A,23.417,#N/A N/A,6.6875,12.2813,2442.33
11/30/1990,1.3125,5.2395,22.125,5.1563,0.1372,17.4688,8.202,10.3927,#N/A N/A,2.648,28.375,1.1719,8.719,3.7917,5.7813,7.031,19.547,13.6053,1.0035,1.0664,3.3646,10.3594,15.75,#N/A N/A,5.578,#N/A N/A,24.3694,#N/A N/A,7.5313,12.6875,2559.65
12/31/1990,1.5357,5.3034,22.813,5.875,0.1558,18.1563,8.3562,10.6448,#N/A N/A,2.88,28.25,1.2031,8.969,3.5833,5.7969,7.281,20.629,14.1771,1.0451,1.2578,3.375,10.8281,15.688,#N/A N/A,5.984,#N/A N/A,24.0333,#N/A N/A,7.5625,12.9375,2633.66
1/31/1991,1.9821,5.8785,24.625,6.2188,0.2031,17.8438,8.8906,11.8493,#N/A N/A,3.231,31.7188,1.4297,9.563,4.375,6.0938,7.125,20.419,14.4335,1.3628,1.4922,3.7448,9.9063,15.938,#N/A N/A,5.938,#N/A N/A,21.7364,#N/A N/A,8.25,12.8125,2736.39
2/28/1991,2.0446,6.166,24.063,6.8281,0.1944,18.8125,10.1548,11.9614,#N/A N/A,3.611,32.25,1.4922,10.266,5.5,6.5313,7.938,21.291,16.1095,1.441,1.5039,4.375,10.1563,16.563,#N/A N/A,6.219,#N/A N/A,21.9605,#N/A N/A,8.8438,13.7813,2882.18
3/29/1991,2.4286,7.3481,23.5,5.9844,0.1693,19.375,9.7951,10.9249,#N/A N/A,4,28.5625,1.4609,11.984,5.7917,6.7813,8.688,21.291,16.6419,1.474,1.4414,4.4583,10.6406,17.406,#N/A N/A,6.063,#N/A N/A,23.0249,#N/A N/A,9.7188,14.6875,2913.86
4/30/1991,1.9643,6.5814,22.813,5.9531,0.2066,19.3125,9.4662,11.233,#N/A N/A,4.259,25.6875,1.5391,11.813,6.8333,6.5938,8.344,21.441,16.9968,1.375,1.4844,4.5417,10.4844,17.625,#N/A N/A,5.75,#N/A N/A,22.4086,#N/A N/A,10.125,14.9063,2887.87
5/31/1991,1.6786,6.5494,24.563,6.4688,0.224,18.4688,9.5381,12.4376,#N/A N/A,4.88,26.5938,1.7422,11.313,7.125,7.1563,8.75,22.915,18.7517,1.5243,1.2422,4.9063,10.6406,16.188,#N/A N/A,5.859,#N/A N/A,21.1201,#N/A N/A,10.7188,14.5938,3027.5
6/28/1991,1.4821,5.7507,22.875,6.1719,0.2118,17.5938,9.1681,11.9053,#N/A N/A,5.014,24.2813,1.4531,10.438,7.125,6.8125,8.219,22.524,18.3179,1.4193,1.1289,4.625,9.6719,15.688,#N/A N/A,5.547,#N/A N/A,21.1762,#N/A N/A,10.6875,14.5938,2906.75
7/31/1991,1.6518,6.4855,23.188,6.1406,0.2726,18.0313,9.9287,12.4376,#N/A N/A,5.389,25.3125,1.4688,11.453,8.5417,7.5156,8.188,21.11,20.3094,1.5313,1.3633,5.1563,10.0938,15.5,#N/A N/A,5.828,#N/A N/A,21.4563,#N/A N/A,11.9063,14.8438,3024.82
8/30/1991,1.8929,6.7731,24.875,5.9375,0.3151,17.9375,9.7643,11.9614,#N/A N/A,5.986,24.2188,1.5469,11.609,8.8333,8.2188,8.156,20.9,20.0136,1.776,1.5586,5.4583,10.4375,16.063,#N/A N/A,5.984,#N/A N/A,22.3526,#N/A N/A,12.6563,14.5625,3043.6
9/30/1991,1.7679,6.5494,25.375,5.5781,0.2847,18.375,9.3737,11.7093,#N/A N/A,6.042,25.9063,1.3203,11.047,8.4583,8.0625,8.75,21.682,20.5263,1.8542,1.6836,5.4271,10.6094,15.313,#N/A N/A,5.625,#N/A N/A,20.3919,#N/A N/A,11.9375,14.875,3016.77
10/31/1991,1.8393,4.8562,24.688,6,0.3385,18.6563,9.7643,12.1014,#N/A N/A,6.264,24.5625,1.2695,11.891,8.25,8.3281,8.688,21.892,21.6108,1.9557,1.7266,5.9688,10.4531,16.063,2,6.078,#N/A N/A,21.0641,#N/A N/A,11.5625,15.25,3069.1
11/29/1991,1.8125,4.8562,22.125,5.1563,0.3438,16.6875,8.6131,11.037,#N/A N/A,6.694,23.125,1.2813,12.047,7.0417,8.6719,8.406,20.87,23.1093,2.026,1.8398,5.5208,10.125,16.688,1.879,5.953,#N/A N/A,20.3358,#N/A N/A,12.2188,14.6563,2894.68
12/31/1991,2.0179,5.2395,23.875,5.4844,0.4601,17.25,9.4148,11.9614,#N/A N/A,7.486,22.25,1.5313,14.313,7.1667,10.0313,9.5,22.915,26.2642,2.3177,2.2539,7.0208,11.7344,18.219,2.328,6.781,#N/A N/A,21.6243,#N/A N/A,14.7188,15.2188,3168.83
1/31/1992,2.3125,5.2715,25.438,5.8438,0.5226,15.9063,11.2238,12.1575,#N/A N/A,6.847,22.5,1.875,13.375,9.375,9.6875,10.906,21.892,24.7854,2.5,2.3008,6.0833,12.9688,18.344,2.602,6.344,#N/A N/A,20.672,#N/A N/A,13.4688,14.5625,3223.39
2/28/1992,2.4107,5.3673,23,6.1094,0.566,15.4063,12.6422,12.4656,#N/A N/A,7.153,21.7188,1.9844,12.656,11.2083,10.2188,10.125,21.892,24.8445,2.5729,2.2813,6.2083,12.7031,18.063,2.5,6.297,#N/A N/A,19.4955,#N/A N/A,13.5,14.2813,3267.67
3/31/1992,2.0804,5.8466,21.938,6.25,0.5486,16,12.4674,13.306,#N/A N/A,7.208,20.875,1.7266,12.188,10.9167,10.2188,9.969,21.351,23.2079,2.4688,2.1055,5.7917,12.7813,17.625,2.477,6.5,#N/A N/A,18.5992,#N/A N/A,13.3125,13.6875,3235.47
4/30/1992,2.1473,5.7507,22,7.0156,0.5069,17.4375,11.9844,13.9222,#N/A N/A,6.931,22.6875,1.6719,11.859,11.7083,10.375,11.094,22.554,22.8727,2.2969,1.957,5.9583,12.9063,16.75,2.391,6.75,#N/A N/A,19.9437,#N/A N/A,13.0625,15.0313,3359.12
5/29/1992,2.1339,5.8146,21.938,7.5469,0.6354,17.8438,12.4571,13.6701,#N/A N/A,7.847,22.6875,1.5625,12.109,12.1667,11,11.719,23.005,23.7797,2.5208,1.8125,6.2083,12.8438,18.094,2.773,6.563,#N/A N/A,19.3274,#N/A N/A,13.25,15.1563,3396.88
6/30/1992,1.7143,5.9424,19.938,6.7188,0.6528,16.75,11.8405,12.9138,#N/A N/A,7.444,24.4688,1.7891,11.188,12.375,9.9688,11.5,23.336,23.0107,2.1875,1.9414,6.0833,11.5,20.031,2.594,6.531,#N/A N/A,19.9437,#N/A N/A,13.4063,15.4688,3318.52
7/31/1992,1.6696,5.8785,19.938,6.9063,0.7413,17.8438,11.8405,12.9698,#N/A N/A,8.354,23.6563,1.8672,12.344,11.625,10.4688,10.938,24.058,24.4896,2.2813,2.2422,6.5208,12.6563,19.219,2.875,7.125,#N/A N/A,21.2882,#N/A N/A,13.9688,15.875,3393.78
8/31/1992,1.6429,5.3354,18.625,6.0313,0.6493,18.375,11.3471,12.5776,#N/A N/A,8.896,21.6563,1.8125,12.313,10.8333,10.7188,10.625,23.697,23.0107,2.3203,2.2617,6.4375,11.6875,18.188,2.664,6.875,#N/A N/A,21.7364,#N/A N/A,14.25,16.0625,3257.35
9/30/1992,1.6116,5.591,18.313,6.5156,0.7344,18.5313,11.9227,12.5776,#N/A N/A,9.25,20.1875,2.0547,11.781,10.9167,10.125,11.094,24.599,20.9995,2.5156,2.4844,6.2292,12.3438,19,3.141,6.125,#N/A N/A,21.8484,#N/A N/A,14.75,15.9688,3271.66
10/30/1992,1.875,5.4632,18,6.5313,0.8333,17.75,12.9094,12.5216,#N/A N/A,9.625,16.7188,2.1094,12.5,11.4583,10.1563,11.438,24.749,20.7629,2.7734,2.4375,6.2917,13.2188,17.688,3.25,5.719,#N/A N/A,21.3442,#N/A N/A,15.1875,15.3125,3226.28
11/30/1992,2.0536,5.8466,17.563,7.0938,1.0382,17.1875,13.8961,11.9334,#N/A N/A,10.167,17.0625,2.2344,12.594,12.5,9.9375,12.25,24.539,21.3544,2.9102,2.6953,6.5104,13.5625,18.5,3.398,5.609,#N/A N/A,21.1201,#N/A N/A,16.0938,14.9063,3305.16
12/31/1992,2.1339,6.3577,20.125,6.7031,1.092,17.375,14.1428,12.8298,#N/A N/A,11.229,12.5938,2.7188,12.563,12.875,10.4688,12.188,24.208,20.5854,2.668,2.5938,6.0417,13.4375,19.25,3.555,6.016,#N/A N/A,22.9688,#N/A N/A,15.9063,15.25,3301.11
1/29/1993,2.125,5.9105,17.625,7.0156,1.2292,18.1875,15.0061,11.9053,#N/A N/A,10.854,12.875,3.3359,11,13.5417,10.5938,12.156,23.576,19.1066,2.7031,2.5508,5.5,12.4375,19.25,4.031,5.859,#N/A N/A,23.1929,#N/A N/A,16.2813,15.2813,3310.03
2/26/1993,1.8929,6.2619,17.25,7.25,1.2188,19.25,14.6361,12.2415,#N/A N/A,10.583,13.5938,3.6406,10.625,13.5,10.5938,12.594,25.381,18.2193,2.6055,2.2578,4.8646,13,19.406,2.758,5.594,#N/A N/A,24.9296,#N/A N/A,16.25,15.9063,3370.81
3/31/1993,1.8393,6.8689,17.5,7.3906,1.2431,20.7813,14.6361,11.4852,#N/A N/A,10.542,12.7188,3.5938,10.625,13.4583,10.6563,13.219,26.343,16.7405,2.8906,2.3945,5.1875,12.4688,19.875,3.219,5.906,#N/A N/A,25.0977,#N/A N/A,15.875,16.5625,3435.11
4/30/1993,1.8304,7.1564,18.938,8.6563,1.1458,21.5313,13.4027,12.2135,#N/A N/A,9.417,12.1563,2.9727,10.875,12.75,9.875,12.031,26.764,17.5095,2.6719,2.1289,5.6875,12.2813,19.875,3.375,6.156,#N/A N/A,23.0249,#N/A N/A,13.375,16.5313,3427.55
5/31/1993,2.0223,7.3162,19.813,8.9531,1.5,22.0313,14.4717,12.6057,#N/A N/A,10.278,13.1875,3.4648,11.156,12.7917,10.375,12.438,27.155,18.101,2.8945,2.2656,5.9792,12.2813,20.281,3.734,6.609,#N/A N/A,24.3134,#N/A N/A,13.9375,16.375,3527.43
6/30/1993,1.4107,8.2427,18.5,9.3594,1.5208,21.9375,13.4027,12.6897,#N/A N/A,9.722,12.3438,3.4375,10.313,13.625,10.75,12.281,25.982,16.7996,2.75,1.7227,5.5833,12.9688,19.844,4.016,6.75,#N/A N/A,26.6103,#N/A N/A,13.0625,16.5313,3516.08
7/30/1993,0.9911,8.3385,19.688,9.6094,1.441,22.0938,12.3338,13.446,#N/A N/A,9.833,11.125,3.2656,9.125,13.75,10.8125,12.875,25.26,14.4926,2.3125,1.7578,4.9583,12.1875,21.344,3.945,6.781,#N/A N/A,26.6663,#N/A N/A,12.6875,16.4063,3539.47
8/31/1993,0.9464,8.3066,19.813,10.2813,1.3264,23.2813,12.8683,13.1659,#N/A N/A,9.472,11.4375,4.0156,10.188,13.5417,10.8438,13.438,26.373,15.0842,2.3477,1.6797,5.25,12.0938,22.781,3.703,7.109,#N/A N/A,28.7391,#N/A N/A,12.8125,16.375,3651.25
9/30/1993,0.8348,9.1053,19.188,9.875,1.3889,24.4375,12.416,13.0819,#N/A N/A,8.556,10.5,4.4219,9.813,15,10.5625,12.969,24.749,14.5518,2.5781,1.4063,4.9583,11.875,22.781,4.289,6.938,#N/A N/A,28.571,#N/A N/A,12.3125,16.375,3555.12
10/29/1993,1.0982,8.2427,18.75,11.4375,1.4236,24.25,14.0605,12.4376,#N/A N/A,8.806,11.5,3.9531,10.531,13.3333,10.8438,14.406,24.96,15.2025,2.5039,1.5117,5.1875,13.5625,23.438,4.367,7.75,#N/A N/A,28.515,#N/A N/A,13.1875,16.3438,3680.59
11/30/1993,1.125,8.019,19.313,10.6563,1.5625,21.7188,13.0738,13.0258,#N/A N/A,9.222,13.4688,3.8438,10.906,12.8333,10.5625,14.656,26.223,16.2081,2.5,1.4961,5.5417,14.1875,22.188,4.523,7.734,#N/A N/A,26.8904,#N/A N/A,14.3125,15.6875,3683.95
12/31/1993,1.0446,7.8913,21.625,11.125,1.7951,21.7813,14.0194,12.7177,#N/A N/A,8.778,14.125,3.875,11.188,13.375,11.1563,14.25,26.163,16.2672,2.5195,1.4492,5.75,14.25,22.469,4.742,7.75,#N/A N/A,26.4422,#N/A N/A,12.5,15.75,3754.09
1/31/1994,1.1696,8.3705,21.625,13.0156,2.0139,23.3438,15.5406,14.2304,#N/A N/A,8.667,14.1875,4.0781,10.594,13.1667,10.2188,15.188,25.802,17.2728,2.6602,1.5625,5.3854,14.875,22.094,5.344,8.422,#N/A N/A,25.4338,#N/A N/A,13.25,16.625,3978.36
2/28/1994,1.3036,7.4759,23.375,13.5469,2.0486,21.6875,15.8284,14.2584,#N/A N/A,9.25,13.2188,4.2969,10.031,12.4167,10.6563,15.156,25.351,15.3208,2.5781,1.6172,4.8333,14.3438,20.781,5.164,8.5,#N/A N/A,24.5375,#N/A N/A,14.1875,16.2188,3832.02
3/31/1994,1.1875,7.0606,22.438,14.0469,1.9028,21.0625,13.7728,13.474,#N/A N/A,9.056,13.625,4.2188,9.438,12.125,10.1563,14.219,23.847,14.0786,2.6484,1.6563,4.5,13.4063,19.438,5.344,7.766,#N/A N/A,23.1929,#N/A N/A,12.9375,15.7188,3635.96
4/29/1994,1.0714,7.5718,22.5,13.7344,1.684,22.25,13.9372,14.0623,#N/A N/A,9.333,14.3125,3.8125,10.344,11.5833,10.4063,15,23.516,14.0194,2.8906,1.6758,4.9167,14.2188,19.844,5.188,7.969,#N/A N/A,23.1929,#N/A N/A,12.625,15.7188,3681.69
5/31/1994,1.0446,7.5718,23.188,13.3594,1.375,21.75,14.225,15.2949,#N/A N/A,10.028,15.8125,3.9063,11.063,12.7917,10.0938,15.5,24.539,14.4335,3.3594,1.8438,5.3125,14.0938,19.406,6.016,8.297,#N/A N/A,23.9212,#N/A N/A,11.75,15.25,3758.37
6/30/1994,0.9464,7.5134,23.125,12.5,1.2986,20.9375,13.6905,14.6506,#N/A N/A,9.361,14.6875,3.6563,10.719,12.8333,10.1563,14.438,23.817,14.0786,3.2266,1.8672,5.2604,13.3438,20.063,5.734,8.031,#N/A N/A,25.0977,#N/A N/A,12.125,14.1563,3624.96
